Year,Month,Day,HeatIndex
2017,10,2,28
2017,10,3,30
2017,10,4,29
2017,10,5,27
2017,10,6,28
2017,10,7,28
2017,10,8,24
2017,10,9,25
2017,10,10,28
2017,10,11,29
2017,10,12,28
2017,10,13,25
2017,10,14,24
2017,10,15,27
2017,10,16,30
2017,10,17,26
2017,10,18,29
2017,10,19,26
2017,10,20,31
2017,10,21,27
2017,10,22,33
2017,10,23,24
2017,10,24,25
2017,10,25,26
2017,10,26,25
2017,10,27,27
2017,10,28,30
2017,10,29,28
2017,10,30,27
2017,10,31,23
2017,11,1,23
2017,11,2,24
2017,11,3,27
2017,11,4,24
2017,11,5,24
2017,11,6,28
2017,11,7,27
2017,11,8,28
2017,11,9,23
2017,11,10,27
2017,11,11,29
2017,11,12,28
2017,11,13,26
2017,11,14,29
2017,11,15,29
2017,11,16,26
2017,11,17,24
2017,11,18,30
2017,11,19,29
2017,11,20,27
2017,11,21,27
2017,11,22,28
2017,11,23,25
2017,11,24,25
2017,11,25,27
2017,11,26,25
2017,11,27,26
2017,11,28,25
2017,11,29,25
2017,11,30,26
2017,12,1,27
2017,12,2,27
2017,12,3,28
2017,12,4,26
2017,12,5,23
2017,12,6,25
2017,12,7,24
2017,12,8,26
2017,12,9,25
2017,12,10,26
2017,12,11,24
2017,12,12,22
2017,12,13,24
2017,12,14,23
2017,12,15,22
2017,12,16,24
2017,12,17,23
2017,12,18,22
2017,12,19,25
2017,12,20,24
2017,12,21,22
2017,12,22,23
2017,12,23,23
2017,12,24,26
2017,12,25,26
2017,12,26,24
2017,12,27,23
2017,12,28,23
2017,12,29,23
2017,12,30,23
2017,12,31,23
2018,7,1,25
2018,7,2,29
2018,7,3,28
2018,7,4,28
2018,7,5,28
2018,7,6,31
2018,7,7,31
2018,7,8,29
2018,7,9,30
2018,7,10,25
2018,7,11,25
2018,7,12,25
2018,7,13,31
2018,7,14,29
2018,7,15,24
2018,7,16,24
2018,7,17,23
2018,7,18,24
2018,7,19,24
2018,7,20,24
2018,7,21,25
2018,7,22,24
2018,7,23,23
2018,7,24,24
2018,7,25,27
2018,7,26,26
2018,7,27,24
2018,7,28,24
2018,7,29,27
2018,7,30,26
2018,7,31,28
2018,8,1,25
2018,8,2,26
2018,8,3,26
2018,8,4,31
2018,8,5,31
2018,8,6,30
2018,8,7,28
2018,8,8,29
2018,8,9,26
2018,8,10,24
2018,8,11,23
2018,8,12,24
2018,8,13,24
2018,8,14,25
2018,8,15,25
2018,8,16,25
2018,8,17,26
2018,8,18,24
2018,8,19,24
2018,8,20,25
2018,8,21,25
2018,8,22,27
2018,8,23,26
2018,8,24,25
2018,8,25,25
2018,8,26,25
2018,8,27,31
2018,8,28,30
2018,8,29,30
2018,8,30,30
2018,8,31,30
2018,9,1,29
2018,9,2,32
2018,9,3,28
2018,9,4,25
2018,9,5,26
2018,9,6,27
2018,9,7,24
2018,9,8,29
2018,9,9,29
2018,9,10,29
2018,9,11,26
2018,9,12,29
2018,9,13,32
2018,9,14,24
2018,9,15,24
2018,9,16,26
2018,9,17,26
2018,9,18,30
2018,9,19,26
2018,9,20,26
2018,9,21,30
2018,9,22,30
2018,9,23,30
2018,9,24,29
2018,9,25,29
2018,9,26,27
2018,9,27,28
2018,9,28,28
2018,9,29,29
2018,9,30,29
2018,10,1,31
2018,10,2,26
2018,10,3,28
2018,10,4,29
2018,10,5,28
2018,10,6,32
2018,10,7,30
2018,10,8,30
2018,10,9,30
2018,10,10,29
2018,10,11,30
2018,10,12,29
2018,10,13,31
2018,10,14,31
2018,10,15,30
2018,10,16,30
2018,10,17,30
2018,10,18,30
2018,10,19,29
2018,10,20,28
2018,10,21,27
2018,10,22,29
2018,10,23,28
