Heat+E2710:E2738Index,Month,Day,HeatIndex,Year
2015.0,10,12,37.0,
2015.0,10,13,36.0,
2015.0,10,14,37.0,
2015.0,10,15,38.0,
2015.0,10,16,38.0,
2015.0,10,17,40.0,
2015.0,10,18,39.0,
2015.0,10,19,37.0,
2015.0,10,20,37.0,
2015.0,10,21,37.0,
2015.0,10,22,38.0,
2015.0,10,23,38.0,
2015.0,10,24,39.0,
2015.0,10,25,40.0,
2015.0,10,26,37.0,
2015.0,10,27,37.0,
2015.0,10,28,35.0,
2015.0,10,29,33.0,
2015.0,10,30,36.0,
2015.0,10,31,35.0,
2015.0,11,1,34.0,
2015.0,11,2,29.0,
2015.0,11,3,36.0,
2015.0,11,4,35.0,
2015.0,11,5,34.0,
2015.0,11,6,35.0,
2015.0,11,7,33.0,
2015.0,11,8,33.0,
2015.0,11,9,35.0,
2015.0,11,10,33.0,
2015.0,11,11,34.0,
2015.0,11,12,36.0,
2015.0,11,13,35.0,
2015.0,11,14,36.0,
2015.0,11,15,36.0,
2015.0,11,16,35.0,
2015.0,11,17,30.0,
2015.0,11,18,34.0,
2015.0,11,19,34.0,
2015.0,11,20,35.0,
2015.0,11,21,36.0,
2015.0,11,22,32.0,
2015.0,11,23,36.0,
2015.0,11,24,36.0,
2015.0,11,25,43.0,
2015.0,11,26,33.0,
2015.0,11,27,32.0,
2015.0,11,28,38.0,
2015.0,11,29,35.0,
2015.0,11,30,36.0,
2015.0,12,1,35.0,
2015.0,12,2,35.0,
2015.0,12,3,36.0,
2015.0,12,4,36.0,
2015.0,12,5,36.0,
2015.0,12,6,38.0,
2015.0,12,7,36.0,
2015.0,12,8,35.0,
2015.0,12,9,35.0,
2015.0,12,10,40.0,
2015.0,12,11,37.0,
2015.0,12,12,37.0,
2015.0,12,13,38.0,
2015.0,12,14,40.0,
2015.0,12,15,40.0,
2015.0,12,16,37.0,
2015.0,12,17,35.0,
2015.0,12,18,32.0,
2015.0,12,19,25.0,
2015.0,12,20,34.0,
2015.0,12,21,35.0,
2015.0,12,22,34.0,
2015.0,12,23,33.0,
2015.0,12,24,35.0,
2015.0,12,25,36.0,
2015.0,12,26,34.0,
2015.0,12,27,33.0,
2015.0,12,28,31.0,
2015.0,12,29,33.0,
2015.0,12,30,34.0,
2015.0,12,31,33.0,
2016.0,1,1,34.0,
2016.0,1,2,33.0,
2016.0,1,3,33.0,
2016.0,1,4,33.0,
2016.0,1,5,34.0,
2016.0,1,6,33.0,
2016.0,1,7,34.0,
2016.0,1,8,32.0,
2016.0,1,9,34.0,
2016.0,1,10,36.0,
2016.0,1,11,34.0,
2016.0,1,12,36.0,
2016.0,1,13,34.0,
2016.0,1,14,34.0,
2016.0,1,15,32.0,
2016.0,1,16,32.0,
2016.0,1,17,33.0,
2016.0,1,18,33.0,
2016.0,1,19,34.0,
2016.0,1,20,34.0,
2016.0,1,21,33.0,
2016.0,1,22,34.0,
2016.0,1,23,33.0,
2016.0,1,24,34.0,
2016.0,1,25,32.0,
2016.0,1,26,34.0,
2016.0,1,27,34.0,
2016.0,1,28,38.0,
2016.0,1,29,33.0,
2016.0,1,30,33.0,
2016.0,1,31,33.0,
2016.0,2,1,31.0,
2016.0,2,2,37.0,
2016.0,2,3,33.0,
2016.0,2,4,34.0,
2016.0,2,5,33.0,
2016.0,2,6,34.0,
2016.0,2,7,33.0,
2016.0,2,8,32.0,
2016.0,2,9,32.0,
2016.0,2,10,32.0,
2016.0,2,11,32.0,
2016.0,2,12,33.0,
2016.0,2,13,35.0,
2016.0,2,14,32.0,
2016.0,2,15,34.0,
2016.0,2,16,33.0,
2016.0,2,17,32.0,
2016.0,2,18,34.0,
2016.0,2,19,32.0,
2016.0,2,20,32.0,
2016.0,2,21,32.0,
2016.0,2,22,34.0,
2016.0,2,23,32.0,
2016.0,2,24,32.0,
2016.0,2,25,36.0,
2016.0,2,26,32.0,
2016.0,2,27,32.0,
2016.0,2,28,33.0,
2016.0,2,29,33.0,
2016.0,3,1,33.0,
2016.0,3,2,33.0,
2016.0,3,3,34.0,
2016.0,3,4,36.0,
2016.0,3,5,35.0,
2016.0,3,6,37.0,
2016.0,3,7,36.0,
2016.0,3,8,36.0,
2016.0,3,9,34.0,
2016.0,3,10,33.0,
2016.0,3,11,32.0,
2016.0,3,12,33.0,
2016.0,3,13,32.0,
2016.0,3,14,34.0,
2016.0,3,15,34.0,
2016.0,3,16,33.0,
2016.0,3,17,33.0,
2016.0,3,18,34.0,
2016.0,3,19,33.0,
2016.0,3,20,34.0,
2016.0,3,21,34.0,
2016.0,3,22,38.0,
2016.0,3,23,34.0,
2016.0,3,24,37.0,
2016.0,3,25,35.0,
2016.0,3,26,34.0,
2016.0,3,27,38.0,
2016.0,3,28,33.0,
2016.0,3,29,32.0,
2016.0,3,30,37.0,
2016.0,3,31,34.0,
2016.0,4,1,34.0,
2016.0,4,2,34.0,
2016.0,4,3,29.0,
2016.0,4,4,35.0,
2016.0,4,5,39.0,
2016.0,4,6,35.0,
2016.0,4,7,35.0,
2016.0,4,8,35.0,
2016.0,4,9,36.0,
2016.0,4,10,34.0,
2016.0,4,11,37.0,
2016.0,4,12,39.0,
2016.0,4,13,35.0,
2016.0,4,14,42.0,
2016.0,4,15,38.0,
2016.0,4,16,35.0,
2016.0,4,17,33.0,
2016.0,4,18,36.0,
2016.0,4,19,36.0,
2016.0,4,20,38.0,
2016.0,4,21,37.0,
2016.0,4,22,36.0,
2016.0,4,23,39.0,
2016.0,4,24,41.0,
2016.0,4,25,37.0,
2016.0,4,26,36.0,
2016.0,4,27,39.0,
2016.0,4,28,39.0,
2016.0,4,29,38.0,
2016.0,4,30,39.0,
2016.0,5,1,34.0,
2016.0,5,2,41.0,
2016.0,5,3,38.0,
2016.0,5,4,37.0,
2016.0,5,5,37.0,
2016.0,5,6,39.0,
2016.0,5,7,39.0,
2016.0,5,8,35.0,
2016.0,5,9,39.0,
2016.0,5,10,37.0,
2016.0,5,11,35.0,
2016.0,5,12,40.0,
2016.0,5,13,39.0,
2016.0,5,14,35.0,
2016.0,5,15,35.0,
2016.0,5,16,35.0,
2016.0,5,17,38.0,
2016.0,5,18,37.0,
2016.0,5,19,37.0,
2016.0,5,20,38.0,
2016.0,5,21,38.0,
2016.0,5,22,42.0,
2016.0,5,23,38.0,
2016.0,5,24,43.0,
2016.0,5,25,39.0,
2016.0,5,26,40.0,
2016.0,5,27,39.0,
2016.0,5,28,39.0,
2016.0,5,29,41.0,
2016.0,5,30,42.0,
2016.0,5,31,42.0,
2016.0,6,1,39.0,
2016.0,6,2,42.0,
2016.0,6,3,40.0,
2016.0,6,4,39.0,
2016.0,6,5,43.0,
2016.0,6,6,41.0,
2016.0,6,7,41.0,
2016.0,6,8,42.0,
2016.0,6,9,44.0,
2016.0,6,10,43.0,
2016.0,6,11,37.0,
2016.0,6,12,38.0,
2016.0,6,13,40.0,
2016.0,6,14,38.0,
2016.0,6,15,39.0,
2016.0,6,16,39.0,
2016.0,6,17,38.0,
2016.0,6,18,36.0,
2016.0,6,19,39.0,
2016.0,6,20,37.0,
2016.0,6,21,38.0,
2016.0,6,22,35.0,
2016.0,6,23,42.0,
2016.0,6,24,37.0,
2016.0,6,25,30.0,
2016.0,6,26,35.0,
2016.0,6,27,37.0,
2016.0,6,28,36.0,
2016.0,6,29,37.0,
2016.0,6,30,36.0,
2016.0,7,1,40.0,
2016.0,7,2,41.0,
2016.0,7,3,41.0,
2016.0,7,4,42.0,
2016.0,7,5,42.0,
2016.0,7,6,41.0,
2016.0,7,7,40.0,
2016.0,7,8,40.0,
2016.0,7,9,40.0,
2016.0,7,10,39.0,
2016.0,7,11,39.0,
2016.0,7,12,32.0,
2016.0,7,13,39.0,
2016.0,7,14,40.0,
2016.0,7,15,38.0,
2016.0,7,16,40.0,
2016.0,7,17,39.0,
2016.0,7,18,40.0,
2016.0,7,19,32.0,
2016.0,7,20,36.0,
2016.0,7,21,38.0,
2016.0,7,22,39.0,
2016.0,7,23,40.0,
2016.0,7,24,40.0,
2016.0,7,25,40.0,
2016.0,7,26,39.0,
2016.0,7,27,40.0,
2016.0,7,28,37.0,
2016.0,7,29,35.0,
2016.0,7,30,38.0,
2016.0,7,31,38.0,
2016.0,8,1,40.0,
2016.0,8,2,43.0,
2016.0,8,3,34.0,
2016.0,8,4,35.0,
2016.0,8,5,38.0,
2016.0,8,6,37.0,
2016.0,8,7,40.0,
2016.0,8,8,40.0,
2016.0,8,9,41.0,
2016.0,8,10,42.0,
2016.0,8,11,40.0,
2016.0,8,12,40.0,
2016.0,8,13,43.0,
2016.0,8,14,41.0,
2016.0,8,15,41.0,
2016.0,8,16,42.0,
2016.0,8,17,42.0,
2016.0,8,18,42.0,
2016.0,8,19,42.0,
2016.0,8,20,39.0,
