Year,Month,Day,HeatIndex
2016,7,26,43
2016,7,27,41
2016,7,28,41
2016,7,29,42
2016,7,30,42
2016,7,31,33
2016,8,1,34
2016,8,2,40
2016,8,3,39
2016,8,4,41
2016,8,5,41
2016,8,6,38
2016,8,7,27
2016,8,8,31
2016,8,9,32
2016,8,10,37
2016,8,11,40
2016,8,12,39
2016,8,13,38
2016,8,14,37
2016,8,15,31
2016,8,16,34
2016,8,17,31
2016,8,18,38
2016,8,19,41
2016,8,20,37
2016,8,21,42
2016,8,22,42
2016,8,23,42
2016,8,24,40
2016,8,25,40
2016,8,26,40
2016,8,27,37
2016,8,28,35
2016,8,29,36
2016,8,30,38
2016,8,31,31
2016,9,1,36
2016,9,2,38
2016,9,3,37
2016,9,4,35
2016,9,5,36
2016,9,6,39
2016,9,7,41
2016,9,8,39
2016,9,9,38
2016,9,10,40
2016,9,11,41
2016,9,12,42
2016,9,13,37
2016,9,14,30
2016,9,15,41
2016,9,16,37
2016,9,17,43
2016,9,18,37
2016,9,19,40
2016,9,20,42
2016,9,21,40
2016,9,22,39
2016,9,23,40
2016,9,24,41
2016,9,25,42
2016,9,26,39
2016,9,27,38
2016,9,28,40
2016,9,29,41
2016,9,30,36
2016,10,1,38
2016,10,2,39
2016,10,3,37
2016,10,4,39
2016,10,5,42
2016,10,6,37
2016,10,7,40
2016,10,8,38
2016,10,9,40
2016,10,10,39
2016,10,11,38
2016,10,12,38
2016,10,13,36
2016,10,14,38
2016,10,15,36
2016,10,16,33
2016,10,17,42
2016,10,18,40
2016,10,19,39
2016,10,20,31
2016,10,21,38
2016,10,22,42
2016,10,23,40
2016,10,24,42
2016,10,25,39
2016,10,26,38
2016,10,27,41
2016,10,28,39
2016,10,29,40
2016,10,30,38
2016,10,31,39
2016,11,1,37
2016,11,2,34
2016,11,3,33
2016,11,4,36
2016,11,5,35
2016,11,6,39
2016,11,7,36
2016,11,8,33
2016,11,9,33
2016,11,10,36
2016,11,11,38
2016,11,12,38
2016,11,13,35
2016,11,14,40
2016,11,15,40
2016,11,16,37
2016,11,17,38
2016,11,18,40
2016,11,19,39
